ID,제목,국가,카테고리점수,style
1,"델리 NCR, 첸나이, 찬디가르, 파탄콧, 임팔에 있는 인도 학교에 한국전래 동화책 선물",인도,0,기타
2,인도네시아로 귀화한 한국 선수  활약 중,인도네시아,0,기타
3,K-Pop 다음은 K-Lit의 차례,터키,100,KPOP
4,"K-POP, 카자흐스탄에 돌아오다",카자흐스탄,100,KPOP
5,앙카라 주민들의 입맛에 한식 선보여,터키,-1,음식/뷰티
6,"하늘을 수놓은 악보, 마음에서 우러나는 음악",오스트리아,100,KPOP
7,"드라마 ‘오징어게임’, 한국관광 산업 활성화",카자흐스탄,10,영화/드라마
8,드라마 ‘오징어게임’의 성공비결은 무엇일까?,카자흐스탄,10,영화/드라마
9,CNN: ‘오징어게임’ 황동혁 감독과의 인터뷰,카자흐스탄,0,기타
10,악사라이(Aksaray)에서 한-터키 역사세미나 개최,터키,0,기타
11,“71년 한국-터키 우정의 사작은 수천년”,터키,0,기타
12,"한국문화원, '오징어게임' 속 한국놀이 체험전 개최",태국,0,기타
13,악사라이(Aksaray)에서 한-터키 역사 세미나 개최,터키,0,기타
14,"넷플릭스, ‘오징어 게임’ 전화번호 노출장면 교체",카자흐스탄,20,영화/드라마
15,"넷플릭스, ‘오징어 게임’ 전화번호 노출장면 교체",카자흐스탄,20,영화/드라마
16,문화산업이 농촌 발전에 도움? 국내외 전문가는 어떤 경험을 갖고 있나,중국,0,기타
17,‘오징어 게임’과 ‘드래곤 볼’의 알려지지 않은 연관성,스페인,10,영화/드라마
18,"조코위 대통령, 인니의 다양성 선보여",인도네시아,0,기타
19,2022년에는 짧고 안전한 여행 선호,태국,0,기타
20,"한국문화원, '오징어게임' 속 한국놀이 선보여",태국,0,기타
21,사이토 마리코씨 번역가 한국문학이 일본에서 읽히는 까닭은,일본,0,기타
22,"한국식 교자? 韓 CJ, 일본에서 판매하는 교자 제품명 ‘만두’로 바꿔",중국,0,기타
23,가을 서훈 4160명이 수훈. 유인촌 전문화체육부장관 포함,일본,0,기타
24,한국 토크 800명이 즐겨. 지요다구에서 한일배우 들이 행사,일본,0,기타
25,생활 내비게이션?라이프 스타일: 한류열풍과 혐한(하) 문화를 입구로 이어간다,일본,0,기타
26,"생활 내비게이션?라이프 스타일: 한류열풍과 혐한(상) 두 가지 조류, 왜 병존?",일본,0,기타
27,<하토리 신이치의 모닝쇼> 세계적 히트 <오징어 게임> 시부야 할로윈에서도,일본,10,영화/드라마
28,문화 DNA에 새겨진 한국의 등산 사랑,싱가포르,0,기타
29,내가 가장 추천하는 콜렉션  오사카시립동양도자미술관,일본,0,기타
30,"브루나이, 온라인 한국 축제에 방문자 20만 명 이상 모여",브루나이,0,기타
